Date,Open,High,Low,Close,Adj Close,Volume
2014-07-24,341.049988,342.850006,334.000000,336.100006,328.721344,590907
2014-07-25,333.500000,335.000000,329.399994,332.149994,324.858063,560747
2014-07-28,330.350006,337.399994,329.600006,334.500000,327.156433,601788
2014-07-30,334.500000,344.500000,334.500000,342.649994,335.127533,900812
2014-07-31,343.100006,345.149994,338.750000,341.049988,333.562653,579077
2014-08-01,340.000000,343.600006,321.000000,326.649994,319.478790,1289216
2014-08-04,326.000000,343.600006,325.000000,342.200012,334.687439,1307913
2014-08-05,342.299988,346.899994,337.549988,344.350006,336.790222,674392
2014-08-06,341.299988,349.500000,340.850006,344.250000,336.692383,607470
2014-08-07,343.000000,350.500000,339.000000,347.299988,339.675446,815348
2014-08-08,343.500000,347.600006,339.450012,341.950012,334.442902,619376
2014-08-11,341.950012,347.549988,339.549988,341.750000,334.247284,362845
2014-08-12,342.100006,351.000000,342.100006,349.100006,341.435974,884613
2014-08-13,348.000000,349.000000,341.000000,343.549988,336.007782,514353
2014-08-14,344.000000,353.000000,343.549988,350.950012,343.245300,471884
2014-08-18,353.700012,353.700012,347.299988,350.350006,342.658478,656367
2014-08-19,352.000000,352.500000,345.100006,348.399994,340.751312,554803
2014-08-20,349.700012,349.700012,345.299988,346.399994,338.795197,391322
2014-08-21,350.250000,370.399994,350.250000,366.950012,358.894104,3764955
2014-08-22,369.850006,369.899994,360.750000,363.250000,355.275299,1194939
2014-08-25,360.700012,367.399994,357.600006,361.700012,353.759338,713235
2014-08-26,358.100006,363.899994,357.299988,361.649994,353.710388,413628
2014-08-27,368.000000,368.700012,361.299988,363.600006,355.617615,725852
2014-08-28,365.399994,367.899994,356.799988,363.399994,355.421997,792201
2014-09-01,365.100006,374.899994,364.200012,371.899994,363.735382,1027263
2014-09-02,372.700012,387.149994,371.049988,385.350006,376.890106,1469921
2014-09-03,387.100006,391.799988,381.100006,383.450012,375.031830,1185735
2014-09-04,384.000000,391.000000,373.250000,387.899994,379.384125,1055883
2014-09-05,388.950012,393.500000,385.399994,387.649994,379.139618,906203
2014-09-08,390.500000,390.500000,383.350006,385.799988,377.330231,335773
2014-09-09,386.399994,397.950012,376.049988,397.049988,388.333252,1150656
2014-09-10,396.850006,397.299988,383.549988,385.100006,376.645569,1317752
2014-09-11,388.000000,390.000000,380.100006,381.950012,373.564758,816264
2014-09-12,384.000000,392.700012,384.000000,388.000000,379.481934,1336992
2014-09-15,387.700012,390.450012,380.899994,381.950012,373.564758,556149
2014-09-16,381.100006,385.500000,372.200012,376.350006,368.087708,716336
2014-09-17,377.100006,380.100006,366.000000,370.250000,362.121613,780290
2014-09-18,368.600006,389.000000,363.250000,387.600006,379.090729,895759
2014-09-19,389.750000,392.500000,382.000000,388.549988,380.019836,676624
2014-09-22,386.500000,402.649994,384.049988,396.950012,388.235474,1615446
2014-09-23,399.750000,407.500000,387.799988,390.850006,382.269348,1824990
2014-09-24,392.450012,398.000000,386.000000,393.149994,384.518860,895327
2014-09-25,396.750000,396.799988,386.250000,389.000000,380.459991,1052692
2014-09-26,387.200012,391.000000,382.000000,389.200012,380.655579,586630
2014-09-29,390.799988,404.000000,388.000000,397.950012,389.213531,837730
2014-09-30,400.700012,409.950012,398.100006,407.950012,398.993988,1228189
2014-10-01,410.000000,413.149994,401.899994,404.850006,395.962067,665343
2014-10-07,401.000000,407.500000,394.100006,397.250000,388.528870,531345
2014-10-08,397.799988,407.700012,392.149994,402.450012,393.614716,1057046
2014-10-09,404.500000,406.700012,397.649994,401.149994,392.343231,672435
2014-10-10,399.700012,406.000000,394.250000,397.899994,389.164612,885256
2014-10-13,395.899994,397.799988,391.049988,394.600006,385.937042,482988
2014-10-14,396.000000,400.350006,384.299988,388.350006,379.824219,822882
2014-10-15,388.350006,388.350006,388.350006,388.350006,379.824219,0
2014-10-16,387.799988,391.000000,365.200012,369.049988,360.947937,841426
2014-10-17,371.049988,383.549988,369.049988,380.500000,372.146606,917551
2014-10-20,385.000000,386.950012,380.000000,382.799988,374.396088,565000
2014-10-21,385.000000,395.500000,384.049988,389.950012,381.389160,1000173
2014-10-22,393.000000,396.600006,391.649994,394.899994,386.230438,536847
2014-10-27,398.000000,402.399994,391.299988,400.799988,392.000916,653478
2014-10-28,401.299988,407.000000,396.299988,405.750000,396.842224,614736
2014-10-29,407.000000,414.200012,403.450012,411.700012,402.661621,946094
2014-10-30,412.250000,425.000000,412.049988,419.399994,410.192566,2646890
2014-10-31,409.899994,409.899994,390.549988,393.500000,384.861176,5608680
2014-11-03,394.899994,395.750000,381.250000,382.649994,374.249359,2085945
2014-11-05,385.950012,387.649994,373.200012,375.200012,366.962952,1702698
2014-11-07,371.000000,381.700012,371.000000,378.850006,370.532806,1232526
2014-11-10,381.500000,384.500000,375.299988,378.950012,370.630646,1052143
2014-11-11,380.350006,381.200012,372.049988,372.950012,364.762360,1059635
2014-11-12,374.000000,379.500000,371.250000,378.450012,370.141602,1924734
2014-11-13,383.250000,383.299988,375.000000,376.500000,368.234406,1003914
2014-11-14,373.200012,378.500000,372.750000,374.649994,366.425018,697374
2014-11-17,371.149994,379.850006,371.149994,377.600006,369.310303,789089
2014-11-18,376.149994,377.000000,371.600006,373.450012,365.251373,1051506
2014-11-19,370.200012,374.399994,365.049988,366.399994,358.356110,996890
2014-11-20,365.000000,366.500000,353.500000,361.799988,353.857117,1185308
2014-11-21,362.500000,369.200012,361.450012,367.350006,359.285278,684300
2014-11-24,368.000000,373.500000,365.149994,371.700012,363.539795,705101
2014-11-25,371.700012,375.000000,364.149994,370.299988,362.170502,1024933
2014-11-26,367.299988,372.500000,365.500000,370.700012,362.561737,746341
2014-11-27,368.000000,370.700012,361.100006,364.299988,356.302216,1215317
2014-11-28,365.000000,372.799988,365.000000,370.850006,362.708435,760299
2014-12-01,400.500000,400.500000,380.200012,390.200012,381.633636,4537297
2014-12-02,391.000000,391.500000,383.899994,388.299988,379.775330,733564
2014-12-03,390.600006,391.850006,384.600006,386.450012,377.965942,529851
2014-12-04,387.399994,389.799988,380.049988,385.600006,377.134613,560011
2014-12-05,385.600006,390.700012,383.299988,387.000000,378.503906,858237
2014-12-08,388.000000,388.899994,379.250000,381.149994,372.782318,567529
2014-12-09,380.000000,380.950012,370.100006,370.950012,362.806244,632742
